owner_id,name,drive_license,address,phone
16,Иосиф Елизарович Комиссаров,30 70 571932,"к. Саранск, бул. Февральский, д. 64, 812236",+7 (316) 658-76-03
17,Игнатова Акулина Филипповна,63 59 907189,"г. Нижний Тагил, ш. Разина, д. 9/9 к. 47, 670656",+7 (729) 806-99-01
18,Евгения Альбертовна Осипова,92 64 242291,"п. Сергиев Посад, наб. Воровского, д. 7 к. 2, 080531",+7 033 092 3271
19,Комиссарова Маргарита Викторовна,82 37 587623,"к. Всеволожск, ул. Труда, д. 7/4 стр. 293, 919058",8 518 506 71 65
20,Борисов Станимир Егорович,91 68 841666,"с. Чулым, наб. Высоковольтная, д. 447 к. 7/6, 752735",+75494808313
21,Олимпиада Рудольфовна Третьякова,62 72 682144,"к. Кижи, бул. Петровский, д. 6 к. 9/9, 685574",+74313518233
22,Мишина Светлана Эльдаровна,71 45 859782,"ст. Калязин, алл. Ватутина, д. 14 к. 14, 842710",84777520471
23,Евдокимов Аполлинарий Вилорович,18 61 615633,"г. Кош-Агач, пер. Баумана, д. 78, 749649",80913341232
24,Савельев Чеслав Харитонович,80 19 264136,"п. Лысьва, наб. Просвещения, д. 434 стр. 2/9, 242102",+79947174648
25,Волков Пимен Захарьевич,79 73 559023,"г. Киржач, ш. Колхозное, д. 1 стр. 97, 429671",8 (565) 512-56-74
26,Александра Робертовна Беляева,94 61 953085,"к. Гатчина, ш. Молодежное, д. 7/1 к. 68, 703482",+77710932480
27,Одинцов Викентий Фомич,80 62 197736,"с. Люберцы, бул. Абрикосовый, д. 8/8 стр. 97, 639821",+76584044997
28,Мариан Матвеевич Панов,29 67 664742,"клх Коломна, пр. Астраханский, д. 1/6 стр. 7/7, 702895",+7 718 702 62 17
29,Кулагина Анжелика Леоновна,43 53 753534,"клх Сузун, ул. Верхняя, д. 44 стр. 261, 240050",+75562386922
30,Юлия Егоровна Чернова,32 20 739098,"с. Красноселькуп, наб. Зеленая, д. 5/9 к. 81, 946474",+7 (671) 369-5944
31,Феофан Анисимович Сысоев,12 94 515032,"ст. Кириши, ш. Есенина, д. 53 стр. 11, 709521",+75623285884
32,Кира Львовна Брагина,31 42 964749,"г. Диксон, ш. М.Горького, д. 2, 048175",+79651370985
33,Бирюков Ростислав Ефимьевич,88 38 779112,"п. Балтийск, наб. 8-е Марта, д. 913, 675869",+7 (617) 964-05-37
34,Модест Ильясович Семенов,66 40 997004,"п. Горячий Ключ, ул. Сахалинская, д. 405 к. 49, 839335",+7 (904) 228-42-10
35,Жанна Эдуардовна Маркова,26 11 475644,"к. Беломорск, бул. 60 лет СССР, д. 817, 891783",80847007661
36,Лидия Юльевна Куликова,72 66 177060,"к. Якутск, пер. Механизаторов, д. 9/5 стр. 9/7, 183673",8 576 615 65 45
37,Никонов Борислав Бенедиктович,29 97 597305,"клх Объячево, пер. Таежный, д. 2, 560494",8 198 327 3158
38,Зиновий Федотович Сазонов,57 24 899649,"г. Ирбит, бул. Некрасова, д. 6 к. 722, 201836",8 752 545 99 10
39,Муравьева Анжелика Ивановна,29 30 891083,"с. Шереметьево, пр. Абрикосовый, д. 28 к. 7, 497840",+7 (690) 034-3244
40,тов. Захаров Владислав Тарасович,51 25 108105,"г. Переславль-Залесский, ул. Спартака, д. 671 стр. 7/7, 160529",8 (516) 136-96-81
41,Мариан Власович Воробьев,60 49 882033,"ст. Нижнекамск, бул. Тенистый, д. 31 к. 4, 921277",89799552717
42,Феврония Аркадьевна Казакова,66 90 417530,"с. Сеймчан, ул. Жукова, д. 2, 998679",8 (079) 359-7820
43,Лукия Артемовна Селезнева,67 23 950360,"п. Самара, пер. Аэродромный, д. 6 к. 7, 590515",+7 864 492 51 92
44,Карпова Василиса Эльдаровна,54 49 787923,"д. Октябрьский (Башк.), ш. Урицкого, д. 28 стр. 9/6, 542357",+7 (322) 141-8880
45,Кириллова Марина Владиславовна,94 53 903531,"ст. Якутск, бул. Бабушкина, д. 465, 947383",+77359774688
46,Елисеев Всеслав Димитриевич,63 30 956572,"ст. Обоянь, ул. Свободная, д. 2 стр. 84, 613750",8 068 536 15 30
47,Миронова Вероника Валентиновна,50 22 979940,"ст. Солнечногорск, ш. Кленовое, д. 8/1 стр. 404, 898614",+7 (410) 369-7117
48,Игнатьева Жанна Вениаминовна,86 78 117233,"г. Эльтон, алл. Баумана, д. 91 к. 2, 670654",+7 515 319 5205
49,Никонова Октябрина Романовна,79 53 953025,"г. Серов, наб. Проезжая, д. 630, 868740",+7 (450) 541-5667
50,тов. Фомин Спартак Евстигнеевич,59 53 295892,"г. Руза, ш. Осенное, д. 6 стр. 515, 796275",8 (059) 640-16-58
51,Кошелев Порфирий Александрович,96 30 132653,"п. Ноябрьск, пр. Спортивный, д. 67 к. 8, 928565",+73102786814
52,тов. Шубина Пелагея Геннадьевна,43 67 324993,"ст. Бугульма, алл. 9 Января, д. 255 к. 5, 258313",+7 (370) 589-57-82
53,Самуил Фадеевич Комиссаров,88 21 168941,"п. Мокшан, ул. Химиков, д. 9/6 стр. 38, 680182",+72253584143
54,Антонов Юрий Бенедиктович,91 80 387782,"п. Якутск, пер. Энтузиастов, д. 101 стр. 4, 907844",8 (364) 710-27-67
55,Веселова Лариса Макаровна,69 36 456717,"ст. Обнинск, пер. Веселый, д. 4 стр. 2/5, 321046",86325953278
56,г-н Фокин Никодим Юльевич,69 73 423528,"п. Черкесск, ул. Березовая, д. 8 к. 5/9, 162456",8 060 983 5841
57,Ирина Яковлевна Федосеева,59 74 572230,"г. Партизанск, ш. Лазо, д. 3 к. 99, 800025",8 (872) 982-59-52
58,Феврония Львовна Селезнева,60 88 875232,"с. Анадырь, наб. Рябиновая, д. 5/1 к. 5/4, 972896",+7 (309) 130-75-62
59,Юлий Харитонович Уваров,62 98 313795,"д. Каргополь, наб. Дружба, д. 6/3 стр. 9/6, 497334",8 (434) 437-5758
60,Некрасова Марина Никифоровна,45 46 227794,"к. Баксан, бул. Крестьянский, д. 8 к. 8, 384842",+7 993 308 33 01
61,Всеслав Абрамович Силин,62 52 852204,"клх Сортавала, бул. Крымский, д. 6 к. 1, 938026",+7 (067) 240-04-99
62,Тихон Эдгарович Белозеров,23 52 398384,"к. Калуга, наб. Тополиная, д. 5/3, 549329",8 685 161 22 75
63,Прокофий Евстигнеевич Пестов,41 10 373453,"д. Хоста, наб. Терешковой, д. 20, 426841",+75933272795
64,Синклитикия Даниловна Фадеева,63 99 675914,"д. Северо-Курильск, бул. Коммунаров, д. 191 стр. 99, 258713",87187072867
65,Леон Адамович Афанасьев,82 17 685941,"клх Кежма, ул. Трудовая, д. 6/2 стр. 117, 622656",8 (661) 825-12-86
66,Агата Архиповна Петухова,77 26 863214,"д. Оленегорск (Якут.), алл. Бажова, д. 3, 310690",+7 (311) 907-9030
67,Симонова Анастасия Валентиновна,61 66 345722,"ст. Чайковский, пер. Ломоносова, д. 34 к. 56, 089268",8 (056) 856-62-46
68,Цветков Ладимир Викторович,33 78 596520,"д. Прохладный, пер. Элеваторный, д. 4/5 к. 25, 518304",8 990 139 83 73
69,Пономарев Викторин Харлампович,52 48 116078,"с. Колпашево, наб. Запорожская, д. 8/9 стр. 5, 587717",8 355 609 3204
70,Анисимова Виктория Геннадьевна,80 84 707275,"с. Химки, пр. Энтузиастов, д. 8, 725228",8 (280) 801-00-62
71,Кузнецова Екатерина Сергеевна,90 39 171269,"г. Южно-Курильск, бул. Клары Цеткин, д. 1/1 стр. 1/1, 840862",+7 182 339 84 54
72,Оксана Феликсовна Николаева,60 20 491172,"клх Валдай, ш. Речное, д. 766 стр. 1/1, 176591",8 (033) 974-0148
73,Якушев Лука Аверьянович,82 94 134500,"ст. Пермь, наб. Тополиная, д. 79, 621850",+7 631 599 96 50
74,тов. Данилова Людмила Тимуровна,91 44 921609,"п. Черняховск, пр. Кольцевой, д. 4 стр. 314, 265511",+7 475 412 1267
75,Александр Афанасьевич Казаков,81 81 637333,"ст. Орехово-Зуево, наб. Красных Партизан, д. 2/9, 982622",+74472126464
76,Иосиф Эдгарович Кириллов,71 19 478666,"г. Двинской, ул. Димитрова, д. 7 к. 8, 692459",+7 (752) 654-7935
77,Майя Вадимовна Тетерина,58 45 956156,"клх Усть-Джегута, бул. Кочубея, д. 57, 672434",+7 (661) 797-96-88
78,Меркушев Мирослав Архипович,98 63 670053,"клх Новокузнецк, бул. Красный, д. 6/7, 014388",8 (993) 756-7982
79,Аксенов Борислав Валентинович,54 13 606222,"к. Нерчинск, ш. Ясное, д. 6/8 к. 677, 401051",+7 (382) 825-86-73
80,Прохоров Пимен Тихонович,61 90 293411,"с. Чулым, пр. Новый, д. 53 к. 991, 553714",8 (859) 696-91-55
81,Клавдия Юрьевна Капустина,68 89 280908,"к. Геленджик, наб. Огородная, д. 35, 692966",+7 (782) 827-42-25
82,Агафья Рудольфовна Кузьмина,67 89 156215,"д. Териберка, пр. Глинки, д. 7/8 стр. 3/2, 340438",+72797881914
83,Алина Павловна Некрасова,79 56 668373,"г. Котлас, ш. Спортивное, д. 5/6 к. 471, 959629",+7 (330) 958-49-82
84,Селиверстова Раиса Болеславовна,51 47 403387,"г. Кяхта, алл. Шахтерская, д. 62 стр. 86, 946671",+7 684 577 59 01
85,Якушева Ангелина Тарасовна,68 91 796405,"с. Каспийск, наб. Энергетиков, д. 6 к. 89, 001701",+7 (770) 632-42-41
86,Харитонов Григорий Антипович,93 56 362552,"клх Кировск (Ленин.), бул. Социалистический, д. 803 к. 429, 005162",8 (136) 111-55-42
87,г-жа Виноградова Светлана Феликсовна,58 27 772741,"с. Нижний Новгород, алл. Деповская, д. 8/4 стр. 212, 565234",+7 389 994 04 38
88,Кира Альбертовна Шарова,87 75 297810,"с. Гаврилов-Ям, пр. Кирпичный, д. 355, 965827",+7 091 043 00 68
89,Аксенова Наталья Ниловна,46 90 847245,"к. Великий Устюг, ул. Одесская, д. 68 к. 2/5, 303161",8 (990) 421-02-02
90,Бирюкова Иванна Викторовна,73 54 648410,"клх Курск, ул. Красноармейская, д. 7 стр. 9, 491778",8 079 252 4191
91,Самойлов Агап Демьянович,39 75 102693,"к. Орел, алл. Парковая, д. 4/6, 654195",+7 802 380 61 74
92,Кузнецова Маргарита Геннадьевна,49 51 190581,"клх Юрьевец (Иван.), пр. Жукова, д. 4/9, 206038",8 050 641 3836
93,Тарасова Алина Евгеньевна,72 17 249289,"с. Вендинга, ул. З.Космодемьянской, д. 26 стр. 462, 456557",+73132912127
94,Ефимов Емельян Филимонович,69 50 526259,"к. Голицыно, алл. Свободы, д. 335, 356804",+72067883171
95,Гуляев Ефрем Васильевич,27 25 112537,"к. Ясный (Оренб.), ул. Большевистская, д. 401 стр. 3/2, 107029",8 670 662 53 24
96,Орехов Яков Демьянович,45 67 255851,"с. Усть-Джегута, ул. Базарная, д. 7 к. 46, 806578",8 (598) 564-20-59
97,Анастасия Руслановна Лобанова,38 13 950069,"п. Волгодонск, бул. Слободской, д. 9, 396522",+7 (955) 905-9929
98,Селиверст Алексеевич Тарасов,34 73 668458,"д. Кемерово, пер. Дружба, д. 459, 525002",82185156915
99,Нина Рудольфовна Кулагина,48 51 243079,"клх Учалы, пер. 70 лет Октября, д. 39 стр. 5/5, 209690",+7 (959) 391-72-51
100,Доронин Бронислав Игнатьевич,40 54 435039,"к. Карталы, бул. Профсоюзный, д. 5, 006762",8 765 861 79 32
101,Кира Архиповна Филиппова,67 19 938016,"г. Неплюевка, пр. Приморский, д. 681, 062962",+7 153 368 8444
102,Ульян Эдгардович Степанов,40 22 152046,"г. Ростов, наб. Ильича, д. 11, 241714",8 774 186 25 65
103,Рубен Евсеевич Цветков,33 67 146784,"п. Владимир, бул. Чайковского, д. 4/9, 686879",+7 (741) 608-9899
104,Гурий Гордеевич Константинов,28 25 893969,"г. Ревда (Сверд.), бул. Демьяна Бедного, д. 52, 116868",8 487 099 8616
105,Мишина Антонина Борисовна,29 28 694116,"ст. Тюмень, пр. Путевой, д. 8/8 к. 724, 996065",+7 (074) 505-4447
106,Елизавета Валентиновна Петухова,99 97 202988,"к. Пушкино (Моск.), бул. Родниковый, д. 47 стр. 8/9, 082148",8 289 023 30 30
107,Егорова Маргарита Рубеновна,68 16 477880,"клх Архангельск, наб. Восьмого Марта, д. 3/8, 524140",8 029 333 34 68
108,Влас Всеволодович Моисеев,12 97 109330,"к. Шилка, бул. Прохладный, д. 7/6 к. 5/4, 489691",+7 858 994 4171
109,Кирилл Дорофеевич Лапин,53 45 771712,"п. Томпа, ул. 50 лет ВЛКСМ, д. 3, 744666",+7 993 538 7584
110,Белов Савва Валерьянович,31 94 685365,"клх Нарткала, ул. Минская, д. 4 стр. 7, 549471",8 (099) 917-38-16
111,Красильников Георгий Викентьевич,77 48 533174,"с. Химки, алл. Куйбышева, д. 81 к. 3, 007432",82712966667
112,Гурьева Маргарита Андреевна,59 10 139557,"г. Адлер, бул. Новгородский, д. 55 стр. 71, 210447",8 (985) 625-7532
113,Титов Еремей Адамович,61 12 339513,"к. Ачинск, бул. Ореховый, д. 290 к. 701, 618472",+7 (046) 184-9926
114,Боброва Валерия Борисовна,23 75 853681,"д. Камышлов, ш. Проезжее, д. 7 к. 3, 873753",+7 011 972 1811
115,Лавр Евсеевич Суворов,42 92 342389,"ст. Ивдель, ш. Ленина, д. 6, 110022",8 579 415 5216
116,Ольга Николаевна Кулагина,61 68 385037,"п. Бийск, ул. Баумана, д. 8/3, 590277",+7 670 145 08 99
117,Пахомова Юлия Болеславовна,38 95 454733,"с. Нефтекамск, бул. Добролюбова, д. 18 стр. 828, 217535",+70838663177
118,Нонна Кузьминична Ковалева,83 67 192295,"г. Печора, ул. Советская, д. 599 к. 67, 037589",87571130554
119,Соловьева Глафира Святославовна,80 76 492052,"г. Красноселькуп, алл. Енисейская, д. 863 стр. 25, 091779",8 (270) 808-6978
120,Авдеев Владимир Бориславович,32 98 706658,"д. Оренбург, пер. Новгородский, д. 7 к. 5, 226984",8 (583) 339-4522
121,Рогова Валерия Матвеевна,74 79 828038,"клх Тында, ш. Челюскинцев, д. 181 к. 3/1, 342442",+7 438 057 1983
122,Шаров Константин Анисимович,92 81 507777,"с. Мичуринск, ул. Полевая, д. 4 стр. 4/6, 347212",+7 (816) 064-84-22
123,Герман Анатольевич Степанов,84 42 105919,"ст. Якша, ш. Мичурина, д. 9/6 стр. 458, 818268",8 (615) 335-5543
124,г-жа Андреева Любовь Петровна,89 77 597923,"г. Москва, ш. Торговое, д. 5/9 к. 1, 887704",+7 (581) 128-8013
125,Зимин Парамон Бориславович,95 90 911159,"клх Бронницы, бул. Сенной, д. 175 стр. 310, 819346",8 766 506 18 09
126,Богданова Людмила Сергеевна,18 84 147727,"ст. Малоярославец, ул. Детская, д. 7/7 стр. 972, 268424",8 088 210 0996
127,Мечислав Гордеевич Тихонов,78 80 189261,"п. Кижи, ш. Калужское, д. 31 стр. 987, 414139",8 (552) 314-91-35
128,Тимофеева Фаина Владиславовна,72 67 444295,"с. Звенигород, наб. Лазурная, д. 56, 257775",+77812914283
129,Рожкова Акулина Сергеевна,43 90 180176,"ст. Чита, ул. Троицкая, д. 3/6, 394278",8 (165) 803-9282
130,Воронцова Вероника Романовна,67 30 287847,"п. Сузун, ул. Путевая, д. 4, 385677",+7 051 844 9892
131,Бажен Ярославович Максимов,58 93 496905,"д. Плес, ш. Мелиораторов, д. 8/1 к. 37, 184322",+7 (591) 365-17-77
132,Тихонова Акулина Ефимовна,36 85 269078,"д. Чулым, алл. Вокзальная, д. 30, 286990",+71379772369
133,Юлия Степановна Белоусова,28 84 960307,"с. Шамары, ул. Угловая, д. 7/3 стр. 903, 291279",80881172980
134,Фомина Алина Станиславовна,96 93 552457,"ст. Старая Русса, наб. Гражданская, д. 3/5 к. 4/2, 986430",+7 981 806 3565
135,Максимова Иванна Тарасовна,23 29 546768,"д. Кыштым, пр. Одесский, д. 9/9 стр. 3/6, 449562",+7 372 138 65 89
136,Колесников Аверкий Бенедиктович,99 97 841122,"д. Салават, ул. Механическая, д. 25, 669849",+7 277 038 4309
137,Романов Анатолий Иосипович,75 76 832377,"п. Верхнее Пенжино, ш. Ушакова, д. 7 к. 4/9, 118489",8 543 937 6904
138,Богданов Сила Ерофеевич,32 62 630829,"ст. Токма, пер. Сплавный, д. 7/8 к. 85, 907141",8 335 658 80 43
139,Бирюкова Лукия Анатольевна,46 21 518309,"к. Новгород Великий, пер. Угольный, д. 83, 334333",+7 (952) 111-7908
140,Горшкова Ульяна Игоревна,15 71 489227,"ст. Тихорецк, пр. Минский, д. 90 к. 8/9, 856271",8 (750) 036-9155
141,Фролова Ираида Руслановна,88 43 296243,"п. Тамбей, алл. Маркса Карла, д. 6 к. 5/8, 929314",+7 (866) 322-7026
142,Лукина Лариса Рудольфовна,73 27 990649,"д. Хасан, пр. Песочный, д. 40, 717545",8 884 506 1593
143,Захарова Ия Матвеевна,83 83 781433,"ст. Северо-Курильск, пр. Лунный, д. 3/3, 699611",+7 (535) 544-96-47
144,Надежда Викторовна Герасимова,56 85 646240,"клх Кисловодск, наб. Российская, д. 72 стр. 811, 068114",82164334722
145,Ефимов Любосмысл Харламович,77 31 129959,"д. Саянск, бул. Тепличный, д. 7/9, 578317",+75642400825
146,Стрелков Селиверст Харлампович,46 70 661091,"ст. Руза, пер. Камский, д. 485 к. 9/7, 326634",+7 638 944 84 63
147,Ратибор Филимонович Дорофеев,18 33 243260,"к. Ангарск, ул. Рабочая, д. 51, 270312",+7 735 647 5705
148,Никифор Артёмович Некрасов,20 28 158760,"п. Красновишерск, ш. Первомайское, д. 836 к. 40, 183764",8 208 814 7435
149,Жанна Оскаровна Большакова,16 95 328367,"ст. Кыштым, ул. Димитрова, д. 10 стр. 3/6, 327195",+7 052 812 7358
150,Евдокия Архиповна Пахомова,92 54 944654,"клх Данков, ул. Водников, д. 9/5 к. 4/3, 574982",+7 827 448 57 08
151,Громова Юлия Егоровна,58 33 119629,"клх Углич, алл. Машиностроителей, д. 59 к. 7, 118102",+7 (031) 731-09-67
152,Васильева Майя Дмитриевна,77 89 835381,"п. Сухиничи, пр. Транспортный, д. 9, 509480",+7 413 811 38 63
153,Ярослав Вячеславович Наумов,34 77 788784,"ст. Чебаркуль, бул. Гафури, д. 2/3 к. 78, 289755",8 (556) 659-3983
154,Радислав Филатович Кондратьев,58 80 880746,"клх Асино, пер. Юбилейный, д. 14 к. 4, 504888",89210752245
155,Ладимир Бенедиктович Дроздов,84 41 344312,"клх Буйнакск, наб. Клары Цеткин, д. 27 стр. 1, 105566",+7 390 604 80 58
156,Полякова Виктория Альбертовна,82 29 442707,"ст. Шали, пер. Революционный, д. 56 стр. 3/3, 179086",+71686227837
157,Горбачев Станислав Денисович,60 93 699083,"к. Руза, бул. Родниковый, д. 666 к. 4, 590425",87927033521
158,Вероника Ильинична Попова,24 16 354854,"к. Североморск, ул. Толстого, д. 48 к. 98, 879206",88042043940
159,Нестеров Касьян Иосипович,69 93 108739,"к. Орск, пр. Тукая, д. 957, 238780",+7 384 576 2055
160,Овчинников Кирилл Ануфриевич,55 90 417012,"ст. Артем, наб. Хвойная, д. 75 стр. 71, 639264",85782329832
161,Вера Оскаровна Бурова,49 98 839389,"к. Борзя, пер. Стадионный, д. 35 стр. 756, 742312",+7 (099) 499-93-93
162,Самсон Венедиктович Овчинников,39 97 127351,"п. Оса, пр. Болотный, д. 43 к. 560, 333127",87573660965
163,Белякова Светлана Антоновна,60 88 878533,"с. Баксан, пер. Димитрова, д. 986, 347644",8 (264) 908-27-71
164,София Валентиновна Карпова,74 24 288503,"с. Аргаяш, пр. Проезжий, д. 2/5, 211175",+7 868 926 86 02
165,Галина Вениаминовна Борисова,52 82 791567,"к. Миллерово, ш. Подстанция, д. 3 стр. 123, 077780",87339776719
166,Ирина Яковлевна Исаева,86 10 356600,"п. Дубна, бул. Тимирязева, д. 520, 101622",+79998279501
167,Ангелина Олеговна Одинцова,48 51 486473,"с. Данков, бул. Прохладный, д. 9, 833901",88179469548
168,Эмилия Феликсовна Чернова,83 89 471042,"ст. Ирбит, алл. Ленина, д. 20 стр. 471, 605583",+7 344 144 8850
169,Филарет Аксёнович Щукин,24 97 449472,"к. Находка, пр. Монтажников, д. 327 стр. 9/6, 608495",8 (803) 955-1240
170,Сергеева Ульяна Юльевна,53 58 756944,"д. Гдов, бул. Островского, д. 246 к. 4/6, 438421",8 031 780 7823
171,Ксения Леонидовна Баранова,53 71 868020,"п. Ахтубинск, пр. Пограничный, д. 240 к. 8, 184094",+7 (533) 448-5714
172,Кондратьев Януарий Якубович,29 30 386929,"д. Нижнеудинск, наб. Поперечная, д. 44 стр. 51, 870207",+7 160 166 2997
173,Евстафий Артурович Туров,88 55 427617,"г. Снежногорск (Мурм.), пр. Гоголя, д. 8/4, 294562",8 577 017 1577
174,Фирс Валерьянович Панфилов,31 46 905245,"ст. Воткинск, пер. Кирпичный, д. 9 к. 7/7, 938276",+7 539 669 58 32
175,Кулакова Ульяна Рудольфовна,94 95 181678,"к. Усть-Катав, ш. 9 Января, д. 74, 919657",+7 132 902 2784
176,Елисей Жоресович Петухов,59 88 706005,"клх Нефедова, пер. Октябрьский, д. 3/5, 580085",+7 403 696 56 66
177,Мухина Вера Георгиевна,65 79 321476,"ст. Пушкинские Горы, наб. Кедровая, д. 20, 276212",8 796 927 86 87
178,Елисеев Аверьян Эдуардович,59 55 336706,"с. Усмань, наб. Озерная, д. 697 стр. 297, 847818",81371894905
179,Рюрик Игнатович Гаврилов,78 11 591644,"к. Зарайск, бул. Свободы, д. 1, 929049",+7 471 281 4429
180,Вениамин Всеволодович Буров,45 45 999529,"к. Игарка, ш. Заовражное, д. 3/9 к. 351, 766372",+7 (950) 410-2767
181,Синклитикия Евгеньевна Щербакова,48 70 882395,"к. Долинск, ш. Демьяна Бедного, д. 747 стр. 9, 185694",8 441 496 7393
182,Королева Лариса Тимуровна,76 53 810638,"ст. Борзя, пр. Гражданский, д. 475, 430091",+7 939 111 9269
183,Анисимов Руслан Артемьевич,33 24 829445,"ст. Ростов, бул. Шевченко, д. 3 стр. 740, 504427",+7 739 627 12 86
184,Зуев Исидор Бориславович,37 88 774588,"г. Холмск, наб. Подстанция, д. 172 стр. 364, 690877",8 618 306 71 98
185,Аполлон Бенедиктович Громов,55 52 814956,"ст. Сибай, бул. Краснознаменный, д. 18 к. 4/5, 157173",+7 (030) 937-61-84
186,Акулина Антоновна Ширяева,73 78 974774,"ст. Баксан, ул. Ульяновская, д. 9/3 к. 11, 707903",+7 (020) 417-92-91
187,Горбачева Елена Афанасьевна,23 24 621292,"к. Петушки, ул. Болотная, д. 4 к. 692, 142625",8 (273) 902-1962
188,Борисов Бронислав Еремеевич,12 72 184643,"клх Грозный, алл. Поперечная, д. 7/4, 909279",+7 456 083 31 81
189,Прасковья Дмитриевна Суворова,89 56 898100,"г. Калязин, ш. Учительское, д. 8/3, 005436",+75970108220
190,Фролов Прокл Зиновьевич,72 75 221703,"клх Мурманск, ш. Рябиновое, д. 4, 363631",8 (970) 623-97-26
191,Евдокимова Людмила Ивановна,57 27 579975,"п. Архыз, пер. Таежный, д. 3 стр. 777, 534929",+7 (983) 168-73-97
192,Зиновьева Зинаида Ефимовна,69 45 115208,"д. Кизел, алл. Садовая, д. 1/1 стр. 9/1, 867177",+7 (180) 632-5431
193,Родион Адрианович Туров,12 71 801534,"ст. Джубга, пр. Брянский, д. 8 стр. 616, 464989",+7 (195) 085-0165
194,Демид Арсеньевич Шилов,69 89 142859,"к. Коломна, ул. Дружба, д. 63 стр. 5, 401557",8 (881) 788-47-95
195,Ангелина Георгиевна Рожкова,96 98 948083,"г. Павловская, наб. Магистральная, д. 224, 723804",8 827 567 04 31
196,Лора Наумовна Савина,12 39 975505,"с. Чусовой, бул. 9 Января, д. 5/3 стр. 3, 375402",8 472 928 4222
197,Филиппов Фирс Валерьянович,30 40 222596,"к. Йошкар-Ола, пер. Строительный, д. 6, 578284",+7 067 275 20 88
198,Корнил Виленович Лаврентьев,52 92 839719,"клх Гаврилов-Ям, пр. Дорожный, д. 28 стр. 1, 937515",+7 939 834 3018
199,Раиса Никифоровна Григорьева,67 96 804179,"д. Шенкурск, ул. Ватутина, д. 3/7 стр. 7, 045547",8 (137) 674-2662
200,Антонов Савелий Игнатьевич,85 86 190259,"г. Азов (Рост.), бул. Абрикосовый, д. 3/9 к. 3/4, 648704",84787300244
201,Харитонов Константин Фёдорович,91 91 595495,"клх Костомукша, ул. Энергетическая, д. 2/6, 964715",8 (904) 290-2572
202,Панкрат Ильясович Васильев,55 30 155457,"д. Бузулук, алл. Казанская, д. 992 стр. 6, 451895",+7 (028) 457-65-21
203,Пономарев Федот Валентинович,37 29 627835,"г. Гдов, ул. Ильича, д. 5, 279852",+70132234232
204,Валерия Анатольевна Соколова,20 64 824375,"г. Каменск-Шахтинский, ул. Привокзальная, д. 2/5, 140119",+7 (932) 501-2495
205,Артемьева Эмилия Егоровна,55 30 996677,"ст. Чегем, пер. Тамбовский, д. 34, 138759",+7 (712) 566-38-36
206,Спиридон Венедиктович Горшков,24 50 229620,"д. Бавлы, наб. Журавлева, д. 864, 738646",+7 (175) 207-1678
207,Афанасьев Олег Бориславович,94 96 189135,"к. Камышин, алл. 50 лет ВЛКСМ, д. 836 к. 5, 579678",+72711477320
208,Ларионов Александр Вячеславович,22 16 970645,"п. Медногорск, пер. Гаражный, д. 887 стр. 84, 848588",+7 061 675 6770
209,Гуляева Клавдия Викторовна,14 32 683707,"п. Мирный, пр. Советов, д. 997 стр. 8/9, 806479",8 954 500 90 25
210,Лукия Мироновна Белова,54 84 128206,"к. Приозерск, ул. Владимирская, д. 53 к. 214, 208507",8 986 407 90 56
211,Константинова Пелагея Болеславовна,83 59 438083,"с. Тверь, наб. Ольховая, д. 6 стр. 4/8, 834404",86391919541
